ID,Mathematics,Science,Thai,English,Social,Programming skill
59070001,3,4,2,3,3,
59070002,2,1,1,0,1,
59070003,0,4,2,0,2,
59070004,3,4,4,2,3,
59070005,1,3,1,0,3,
59070006,2,0,1,2,3,
59070007,4,0,3,3,2,
59070008,0,4,0,3,0,
59070009,4,1,3,2,1,
59070010,4,4,2,1,4,
59070011,2,4,2,2,1,
59070012,1,1,0,4,1,
59070013,2,3,1,2,4,
59070014,0,3,0,3,1,
59070015,4,2,2,4,4,
59070016,3,1,3,4,3,
59070017,3,1,4,4,1,
59070018,0,1,3,2,4,
59070019,4,0,3,1,4,
59070020,3,2,4,0,1,
59070021,0,3,2,2,4,
59070022,1,0,2,1,3,
59070023,0,1,3,2,3,
59070024,3,2,0,4,2,
59070025,3,0,4,2,1,
59070026,2,3,3,2,4,
59070027,0,1,0,3,1,
59070028,2,2,0,4,1,
59070029,1,0,4,1,0,
59070030,3,0,1,2,4,
59070031,0,0,3,0,2,
59070032,2,4,2,1,0,
59070033,4,4,1,2,4,
59070034,2,1,0,3,1,
59070035,3,2,4,2,4,
59070036,3,2,0,1,0,
59070037,3,4,3,4,1,
59070038,2,4,0,0,1,
59070039,0,4,0,3,4,
59070040,3,3,1,4,1,
59070041,3,0,4,4,0,
59070042,2,1,3,1,4,
59070043,3,4,2,1,4,
59070044,3,4,1,3,3,
59070045,1,3,4,3,1,
59070046,4,1,4,0,4,
59070047,2,1,1,3,2,
59070048,3,3,4,0,3,
59070049,0,1,3,0,2,
59070050,3,4,2,4,3,
59070051,2,1,3,3,0,
59070052,0,2,1,1,0,
59070053,0,0,3,1,0,
59070054,2,0,0,4,3,
59070055,1,2,0,0,1,
59070056,2,4,0,3,2,
59070057,0,3,1,3,0,
59070058,2,2,2,1,3,
59070059,0,2,2,3,2,
59070060,3,4,4,2,1,
59070061,0,3,2,1,0,
59070062,4,4,4,2,2,
59070063,1,3,3,2,3,
59070064,2,2,4,0,1,
59070065,3,3,0,2,2,
59070066,2,2,1,1,3,
59070067,4,3,1,4,0,
59070068,4,3,4,2,3,
59070069,0,4,3,0,0,
59070070,2,3,4,1,1,
59070071,0,1,1,2,4,
59070072,1,2,2,2,2,
59070073,4,4,4,4,3,
59070074,0,2,2,1,4,
59070075,1,2,1,0,0,
59070076,1,2,3,2,3,
59070077,4,1,4,2,1,
59070078,1,2,4,3,1,
59070079,4,3,3,2,4,
59070080,1,0,1,2,2,
59070081,0,3,4,4,1,
59070082,0,1,4,3,1,
59070083,1,2,0,0,4,
59070084,4,0,0,0,0,
59070085,1,0,1,4,0,
59070086,2,4,0,4,0,
59070087,3,2,0,2,3,
59070088,4,2,2,2,0,
59070089,0,0,2,4,1,
59070090,0,2,3,1,3,
59070091,4,4,3,3,0,
59070092,4,1,4,0,0,
59070093,3,2,1,0,3,
59070094,3,2,1,3,1,
59070095,3,4,2,2,3,
59070096,2,3,3,2,2,
59070097,3,4,0,2,3,
59070098,0,0,4,2,1,
59070099,0,3,2,0,4,
59070100,4,1,0,2,3,
